player_1	score_1	score_2	player_2	replay
[SEBA]	2	0	redda	
Jacintogod	2	0	Gentlemano	
ChikoPs2	2	1	pipenhocongranadina	
Elcarnaza1	2	1	FitoxNorris	
Younghou	2	0	elsean	
Atma_	2	0	Ariel_Tapia1984	
rwk	2	0	Diplosaurio	
Kmion33	2	0	Cristof Von Roe	
Cald3ron	2	0	NECROLUST	
LordMasterSex	2	1	Mr Olympia	
Tkross-Itachi	2	0	R0nsv41n	
[SEBA]	2	0	Jacintogod	
ChikoPs2	2	0	Elcarnaza1	
Sir.Weon	2	0	Mewtario	
Younghou	2	0	Shadov_Mgryal
Atma_	2	1	rwk	
Kmion33	2	0	i_tried	
Cald3ron	2	1	LordMasterSex	
Tkross-Itachi	2	0	Thedankestmemes	
[SEBA]	2	0	ChikoPs2	
Younghou	2	0	Sir.Weon	
Atma_	2	0	Kmion33	
Tkross-Itachi	2	1	Cald3ron	
[SEBA]	2	0	Younghou	
Tkross-Itachi	2	0	Atma_	
[SEBA]	3	1	Tkross-Itachi	
redda	2	1	Gentlemano	
FitoxNorris	2	0	pipenhocongranadina	
NECROLUST	2	1	Mr Olympia	
Wirox	2	1	R0nsv41n	
redda	2	0	Thedankestmemes	
LordMasterSex	2	0	FitoxNorris	
rwk	2	0	elsean	
Ariel_Tapia1984	2	0	Shadov_Mgryal
Mewtario	2	1	Cristof Von Roe	
Elcarnaza1	2	0	NECROLUST	
Wirox	2	0	Jacintogod	
redda	2	0	LordMasterSex	
rwk	2	0	i_tried	
Ariel_Tapia1984	2	0	Mewtario	
Wirox	2	0	Elcarnaza1	
redda	2	1	Sir.Weon	
rwk	2	1	ChikoPs2	
Cald3ron	2	0	Ariel_Tapia1984	
Kmion33	2	0	Wirox	
Cald3ron	2	0	Kmion33	
Atma_	2	1	redda	
Younghou	2	0	Cald3ron	
Younghou	2	0	Atma_	
Tkross-Itachi	3	1	Younghou	
[SEBA]	3	1	Tkross-Itachi	
