player_1	score_1	score_2	player_2	replay
wirox	5	0	xdddlololo	
daewoo	5	0	xdddlololo	
sanmi	5	4	cristof von roe	
xdddlololo	5	1	sanmi	
daewoo	5	0	sanmi	
sanmi	5	0	ariel_tapia1984	
ttvdonjavierlive	5	0	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1692577398942-7704
ttvdonjavierlive	5	1	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692577915492-4499
ttvdonjavierlive	5	2	mr olympia	https://replay.fightcade.com/fbneo/sfiii3nr1/1692578675279-4712
daewoo	5	1	ttvdonjavierlive	https://replay.fightcade.com/fbneo/sfiii3nr1/1692588117589-1348
daewoo	5	1	octaseco	
i_tried	5	0	crystowizard	
pipenhocongranadina	5	1	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692576918085-6113
lionheartxiii	5	3	xdddlololo	
pipenhocongranadina	5	0	lionheartxiii	https://replay.fightcade.com/fbneo/sfiii3nr1/1692633552760-1862
sanmi	5	2	lionheartxiii	https://replay.fightcade.com/fbneo/sfiii3nr1/1692635130110-1891
pipenhocongranadina	5	1	sanmi	https://replay.fightcade.com/fbneo/sfiii3nr1/1692636508739-2640
_onslaught	5	1	xdddlololo	
thiagongg	5	1	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1692647367328-6565
comicnauta	5	2	yagger00	https://replay.fightcade.com/fbneo/sfiii3nr1/1692647678070-6830
donferwea	5	0	luxfercl	https://replay.fightcade.com/fbneo/sfiii3nr1/1692648823273-4557
franciscois	5	0	xdddlololo	
franciscois	5	1	donferwea	
pipenhocongranadina	5	0	tomaselninjapro	https://replay.fightcade.com/fbneo/sfiii3nr1/1692653907304-2536
comicnauta	5	2	vinsfield	https://replay.fightcade.com/fbneo/sfiii3nr1/1692654133938-8585
alvarinho	5	1	tomaselninjapro	https://replay.fightcade.com/fbneo/sfiii3nr1/1692654779526-1312
donferwea	5	4	i_tried	
xdddlololo	5	0	vicente4c	
xdddlololo	5	2	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1692655364176-8764
yagger00	5	2	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692658506113-1782
franciscois	5	0	i_tried	
franciscois	5	0	vicente4c	
franciscois	5	0	morancio	
