player_1	score_1	score_2	player_2	replay
Wirox	2	0	LordMasterSex	
SOLIDO	2	0	Nosequeweaponer	
Sir.Weon	2	0	Qaos	
Powup1	2	1	Gentlemano	
Chikops2	2	0	Dainoth	
Jindra	2	0	Franciscois	
Kmion33	2	0	Pipenhocongranadina	
Daewoo	2	0	FitoxNorris	
Rompehuesos	2	1	Diplosaurio	
Tkross-Itachi	2	0	NECROLUST	
Elcarnaza1	2	0	R0nsv41n	
Cald3ron	2	0	Wirox	
SOLIDO	2	1	Sir.Weon	
Younghou	2	0	Powup1	
Kaisark	2	0	Chikops2	
[SEBA]	2	0	Jindra	
Daewoo	2	1	Kmion33	
Atma_	2	0	Rompehuesos	
Elcarnaza1	2	1	Tkross-Itachi	
SOLIDO	2	1	Cald3ron	
Younghou	2	0	Kaisark	
[SEBA]	2	1	Daewoo	
Atma_	2	0	Elcarnaza1	
Younghou	3	0	SOLIDO	
[SEBA]	3	0	Atma_	
[SEBA]	3	1	Younghou	
Nosequeweaponer	2	0	Qaos	
FitoxNorris	2	1	Pipenhocongranadina	
R0nsv41n	2	0	NECROLUST	
Tkross-Itachi	2	0	LordMasterSex	
Rompehuesos	2	0	Nosequeweaponer	
Gentlemano	2	0	Kmion33	
Jindra	2	1	Dainoth	
Chikops2	2	0	Franciscois	
Powup1	2	0	FitoxNorris	
Sir.Weon	2	1	Diplosaurio	
Wirox	2	0	R0nsv41n	
Tkross-Itachi	2	0	Rompehuesos	
Jindra	2	0	Gentlemano	
Chikops2	2	0	Powup1	
Wirox	2	0	Sir.Weon	
Kaisark	2	0	Tkross-Itachi	
Cald3ron	2	0	Jindra	
Chikops2	2	1	Elcarnaza1	
Daewoo	2	1	Wirox	
Cald3ron	3	1	Kaisark	
Daewoo	3	2	Chikops2	
Atma_	3	2	Cald3ron	
SOLIDO	3	1	Daewoo	
Atma_	3	1	SOLIDO	
Atma_	3	2	Younghou	
[SEBA]	3	1	Atma_	
